1977,MI82349,Detroit,MI,1316352,24070,479,1277,6482,15832
1977,TX07102,ElPaso,TX,386000,1560,32,107,597,824
1977,VA02901,FairfaxCounty,VA,517610,841,13,89,320,419
1977,TX22012,FortWorth,TX,383028,2561,102,208,1119,1132
1977,CA01005,Fresno,CA,182629,1673,52,71,592,958
1977,HI00200,Honolulu,HI,721983,1660,46,176,357,1081
1977,TXHPD00,Houston,TX,1613303,9304,376,965,1810,6153
1977,INIPD00,Indianapolis,IN,509000,3785,80,346,1220,2139
1977,FL01602,Jacksonville,FL,528698,4171,77,299,2329,1466
1977,MOKPD00,KansasCity,MO,492055,5616,97,325,2868,2326
1977,NV00201,LasVegas,NV,279791,2729,59,183,1068,1419
1977,CA01941,LongBeach,CA,346662,3391,75,226,1094,1996
1977,CA01900,LosAngelesCounty,CA,1040180,10589,173,631,6822,2963
1977,CA01942,LosAngeles,CA,2785393,33676,576,2339,15515,15246
1977,KY05680,Louisville,KY,,,,,,
1977,TNMPD00,Memphis,TN,667150,5231,105,581,1796,2749
1977,AZ00717,Mesa,AZ,116400,385,4,34,264,83
1977,FL01300,Miami-DadeCounty,FL,657954,7204,90,277,4676,2161
1977,FL01306,Miami,FL,333713,5346,84,178,2637,2447
1977,WIMPD00,Milwaukee,WI,640489,2535,54,213,879,1389
1977,MN02711,Minneapolis,MN,390294,3130,38,324,1116,1652
1977,MD01604,MontgomeryCounty,MD,491003,916,14,105,313,484
1977,TN01901,Nashville,TN,456589,2957,82,187,1000,1688
1977,NY02900,NassauCounty,NY,1044946,1058,19,48,257,734
1977,LANPD00,NewOrleans,LA,587776,5947,173,360,2135,3279
1977,NY03030,NewYorkCity,NY,7481613,121916,1557,3899,42056,74404
1977,NJNPD00,Newark,NJ,351412,6175,92,324,2556,3203
1977,CA00109,Oakland,CA,339264,5764,94,366,2267,3037
1977,OK05506,OklahomaCity,OK,373570,2695,67,251,1602,775
1977,NB02802,Omaha,NE,367281,1918,31,172,906,809
1977,FL04804,Orlando,FL,118374,1143,15,85,769,274
1977,PAPEP00,Philadelphia,PA,1897706,12047,323,771,3954,6999
1977,AZ00723,Phoenix,AZ,682200,4295,70,316,2315,1594
1977,PAPPD00,Pittsburgh,PA,482413,4572,52,252,1729,2539
1977,OR02602,Portland,OR,385230,3973,41,337,1892,1703
1977,MD01721,PrinceGeorge'sCounty,MD,550201,3724,51,264,1476,1933
1977,NC09201,Raleigh,NC,152840,571,10,39,402,120
1977,CA03404,Sacramento,CA,265220,2915,41,205,1393,1276
1977,UT01803,SaltLakeCity,UT,180122,1064,12,112,461,479
1977,TXSPD00,SanAntonio,TX,764217,3755,146,273,1876,1460
1977,CA03711,SanDiego,CA,788621,4414,50,298,1585,2481
1977,CA03801,SanFrancisco,CA,676625,9367,141,595,3208,5423
1977,CA04313,SanJose,CA,568303,2670,41,322,1276,1031
1977,WASPD00,Seattle,WA,500000,4156,35,370,1987,1764
1977,MOSPD00,St.Louis,MO,512059,9726,195,473,4115,4943
1977,NY05101,SuffolkCounty,NY,1140882,2042,30,133,861,1018
1977,FL02902,Tampa,FL,264848,3194,31,195,1906,1062
1977,AZ01003,Tucson,AZ,306500,1578,35,116,877,550
1977,OK07205,Tulsa,OK,352674,1850,28,172,1161,489
1977,VA12800,VirginiaBeach,VA,235324,463,16,80,215,152
1977,DCMPD00,Washington,DC,690000,9843,192,402,2594,6655
1977,KS08703,Wichita,KS,261732,1397,34,121,527,715
1977,,UnitedStates,,1029580,19120,,,,
1978,NM00101,Albuquerque,NM,291834,2434,37,187,1516,694
1978,TX22001,Arlington,TX,121750,450,6,43,269,132
1978,GAAPD00,Atlanta,GA,456000,8845,144,592,3990,4119
1978,CO00101,Aurora,CO,131499,831,12,83,504,232
1978,TX22701,Austin,TX,331557,1413,35,194,549,635
1978,MD00301,BaltimoreCounty,MD,641120,4600,27,168,3587,818
1978,MDBPD00,Baltimore,MD,781730,14659,197,554,5811,8097
1978,MA01301,Boston,MA,616225,10035,72,475,3853,5635
1978,NY01401,Buffalo,NY,391695,3181,44,221,1195,1721
1978,NC06001,Charlotte,NC,309101,2435,51,114,1561,709
1978,ILCPD00,Chicago,IL,3086699,27686,787,1341,10325,15233
1978,OHCIP00,Cincinnati,OH,405324,3303,57,287,1659,1300
1978,OHCLP00,Cleveland,OH,614512,9697,213,507,2623,6354
1978,OHCOP00,Columbus,OH,578338,3353,67,309,1054,1923
1978,TXDPD00,Dallas,TX,871832,9884,230,822,4997,3835
1978,CODPD00,Denver,CO,485547,4877,97,577,1841,2362
1978,MI82349,Detroit,MI,1294359,21602,498,1288,7533,12283
1978,TX07102,ElPaso,TX,399000,1490,21,121,573,775
1978,VA02901,FairfaxCounty,VA,522890,917,17,94,314,492
1978,TX22012,FortWorth,TX,375860,2670,86,265,1101,1218
1978,CA01005,Fresno,CA,194774,1997,42,114,739,1102
1978,HI00200,Honolulu,HI,725259,2044,38,187,346,1473
1978,TXHPD00,Houston,TX,1486489,10852,484,1098,1918,7352
1978,INIPD00,Indianapolis,IN,513271,3733,76,341,1353,1963
1978,FL01602,Jacksonville,FL,523199,4368,79,278,2664,1347
1978,MOKPD00,KansasCity,MO,463931,5029,115,342,2708,1864
1978,NV00201,LasVegas,NV,288865,2886,54,192,1092,1548
1978,CA01941,LongBeach,CA,344154,3688,68,246,1244,2130
1978,CA01900,LosAngelesCounty,CA,972663,10766,180,595,7062,2929
1978,CA01942,LosAngeles,CA,2787525,36797,651,2467,16574,17105
1978,KY05680,Louisville,KY,,,,,,
1978,TNMPD00,Memphis,TN,683112,5412,113,664,1738,2897
1978,AZ00717,Mesa,AZ,124937,493,4,40,328,121
1978,FL01300,Miami-DadeCounty,FL,669511,8437,96,334,5576,2431
1978,FL01306,Miami,FL,330060,6272,96,207,3137,2832
1978,WIMPD00,Milwaukee,WI,623657,2438,48,288,890,1212
1978,MN02711,Minneapolis,MN,374800,3098,26,307,1077,1688
1978,MD01604,MontgomeryCounty,MD,525247,1138,10,110,488,530
1978,TN01901,Nashville,TN,452440,3153,81,217,1083,1772
1978,NY02900,NassauCounty,NY,1100131,1005,13,23,293,676
1978,LANPD00,NewOrleans,LA,559160,7635,216,406,2849,4164
1978,NY03030,NewYorkCity,NY,7242886,122685,1503,3882,43271,74029
1978,NJNPD00,Newark,NJ,325679,6843,109,315,2737,3682
1978,CA00109,Oakland,CA,327756,5374,97,351,2152,2774
1978,OK05506,OklahomaCity,OK,381184,3607,67,314,2203,1023
1978,NB02802,Omaha,NE,364446,1856,24,162,792,878
1978,FL04804,Orlando,FL,118393,1620,13,107,1090,410
1978,PAPEP00,Philadelphia,PA,1885533,12369,352,724,4224,7069
1978,AZ00723,Phoenix,AZ,696763,5401,88,463,2819,2031
1978,PAPPD00,Pittsburgh,PA,479443,4818,66,231,1475,3046
1978,OR02602,Portland,OR,362497,4017,34,371,1838,1774
1978,MD01721,PrinceGeorge'sCounty,MD,554087,3967,36,316,1617,1998
1978,NC09201,Raleigh,NC,150124,645,12,48,412,173
1978,CA03404,Sacramento,CA,261465,3198,61,218,1337,1582
1978,UT01803,SaltLakeCity,UT,185000,1062,21,131,459,451
1978,TXSPD00,SanAntonio,TX,816780,3446,136,304,1568,1438
1978,CA03711,SanDiego,CA,797293,4520,68,316,1606,2530
1978,CA03801,SanFrancisco,CA,658611,10509,118,583,3299,6509
1978,CA04313,SanJose,CA,587621,2755,44,367,1189,1155
1978,WASPD00,Seattle,WA,489961,4900,54,360,2229,2257
1978,MOSPD00,St.Louis,MO,525123,10095,210,497,4363,5025
1978,NY05101,SuffolkCounty,NY,1157014,2523,21,142,1255,1105
1978,FL02902,Tampa,FL,263175,3510,41,253,2136,1080
1978,AZ01003,Tucson,AZ,309200,1654,26,155,889,584
1978,OK07205,Tulsa,OK,356000,2160,45,193,1313,609
1978,VA12800,VirginiaBeach,VA,240654,465,3,67,225,170
1978,DCMPD00,Washington,DC,674000,9515,189,447,2546,6333
1978,KS08703,Wichita,KS,260642,1231,25,133,531,542
1978,,UnitedStates,,1085550,19560,,,,
1979,NM00101,Albuquerque,NM,302120,2679,47,215,1602,815
1979,TX22001,Arlington,TX,130265,626,11,52,373,190
1979,GAAPD00,Atlanta,GA,423103,10715,231,656,4639,5189
1979,CO00101,Aurora,CO,134224,1033,9,78,595,351
1979,TX22701,Austin,TX,337727,1495,43,216,659,577
1979,MD00301,BaltimoreCounty,MD,639872,5041,21,182,3782,1056
1979,MDBPD00,Baltimore,MD,790901,15523,245,564,6232,8482
1979,MA01301,Boston,MA,599582,11392,92,464,4236,6600
1979,NY01401,Buffalo,NY,383915,3857,52,265,1582,1958
1979,NC06001,Charlotte,NC,300569,2485,50,115,1617,703
1979,ILCPD00,Chicago,IL,3060801,27807,856,1655,10832,14464
1979,OHCIP00,Cincinnati,OH,404661,3808,50,282,1814,1662
1979,OHCLP00,Cleveland,OH,601381,9736,274,612,3090,5760
1979,OHCOP00,Columbus,OH,534052,4242,69,423,1305,2445
1979,TXDPD00,Dallas,TX,882225,11453,307,983,5707,4456
1979,CODPD00,Denver,CO,486407,5118,66,626,2169,2257
